date,stage,n_flights,avg_combined_rate,labeled_recall,labeled_recall_flights,artifacts,notes
2026-07-23,baseline (defaults),10,0.2772,0.9074,flight_01 only (54 points),data/detector_tuning/sweep_results.csv,"stride=1 thresh=20 open_k=7 close_k=30 min_area=200 max_area=50000 min_circ=0.3 (original script defaults). labeled_recall measured on flight_01 alone (54 points) - the only labeled flight at the time."
2026-07-23,round 1 sweep (48 stride/thresh/open_k combos),10,,,flight_01 only (54 points),data/detector_tuning/sweep_results.csv,"Grid: STRIDE x DIFF_THRESHOLD x OPEN_KERNEL (STRIDES=[1,2,3], DIFF_THRESHOLDS=[8,12,16,20], OPEN_KERNELS=[0,3,5,7]), close_k/min_area/min_circ held at baseline defaults. Recall-gated (labeled_recall >= 0.9074) then ranked by avg_combined_rate - top raw-ranked result (stride=2,thresh=8,open_k=3) hit combined_rate=1.000 but recall had collapsed to 0.556 (gaming/false-positive inflation), caught by the gate. Winner: stride=1,diff_threshold=16,open_kernel=3."
2026-07-23,candidate config (no fixes),10,0.874,0.9259,flight_01 only (54 points),data/detector_tuning/sweep_results.csv,"stride=1 thresh=16 open_k=3 - RAW number, inflated by false positives, superseded once mask v2/v3 fixes landed."
2026-07-23,full-dataset artifact audit (pre-mask-v3 - 163 flights),163,,,N/A (audit does not use labels),data/detector_tuning/inspection_crops/round2_mask_v3_trajectory_filter/artifact_audit_hotspots.csv;data/detector_tuning/inspection_crops/round2_mask_v3_trajectory_filter/ (crops, true_ball/false_positive labeled),"Pooled every point filter_trajectory_outliers rejected across all 163 flights x 2 cams at the candidate config, binned spatially, ranked by distinct-flight count. Found 3 confirmed static artifacts (cam1 wall corner, cam0 exit sign, cam0 fixture) + 1 unidentified small cluster - led to the 4 new exclusion_mask.py zones (mask v3). Also found 2 low-count hotspots that turned out to be the real ball (frame119/frame155, wrongly flagged due to a trajectory-filter interaction bug, since fixed) and 2 that turned out to be a person's arm near the throw release point (not maskable - too close to real launch trajectory)."
2026-07-23,candidate + mask v2 + trajectory filter (first working version),10,0.7549,0.9259,flight_01 only (54 points),NOT RECOVERABLE (original CSV overwritten before this history file existed - see worklog prose),"exclusion_mask.py: added cam0 wall-corner zone only. NOTE: this number itself superseded once mask v3 added, reconstructed from worklog prose - exact per-flight breakdown not recoverable, original CSV was overwritten"
2026-07-23,candidate + mask v3 (4 zones) + trajectory filter,10,0.8552,0.9259,flight_01 only (54 points),data/detector_tuning/candidate_config_validated_results.csv;data/detector_tuning/contact_sheets/round2_mask_v3_trajectory_filter/;data/detector_tuning/inspection_crops/round2_mask_v3_trajectory_filter/;src/image_processing/exclusion_mask.py,"exclusion_mask.py: added cam1 wallcorner + cam0 exitsign + cam0 fixture + cam0 third-cluster. labeled_recall measured on flight_01 alone (54 points, flight_22 not yet labeled)."
2026-07-24,round 3 sweep (24 min_area/min_circ combos),10,,,flight_01 + flight_22 (240 points),data/detector_tuning/sweep_results_min_area_circ.csv,"Grid: MIN_AREA=[30,50,75,100,150,200] x MIN_CIRC=[0.2,0.25,0.3,0.35], stride/thresh/open_k/close_k/max_area/trajectory-filter params held at candidate_config.json's values. Labeled recall now from TWO flights (flight_01: 54 points + flight_22: 186 points, 240 total - user labeled flight_22 mid-task). Gate corrected mid-round: initially gated against a recomputed year-zero-baseline recall (0.2417, mechanically correct but far too loose a bar - flight_22 was originally chosen as a sample flight BECAUSE the untuned baseline scored 0.000 combined_rate on it); switched to gating against the CURRENT pipeline's own recall (0.8125, at min_area=200/min_circ=0.3 unchanged) instead - the actually meaningful question of whether a new choice regresses what we already have. 21/24 passed the corrected gate. Winner (user-confirmed): min_area=30, min_circ=0.30 -> avg_combined_rate=0.9751, labeled_recall=0.9208 (both beat the 200/0.30 baseline of 0.8552/0.8125)."
2026-07-24,full-dataset artifact audit at min_area=30/min_circ=0.30 (pre-mask-v4 - 163 flights),163,,,N/A (audit does not use labels),data/detector_tuning/inspection_crops/area30_circ0.3/artifact_audit_hotspots_premaskfix.csv;data/detector_tuning/inspection_crops/area30_circ0.3/ (crops, all user-confirmed false_positive),"Re-ran the same full-dataset audit at the round-3 winning config. 13 hotspot bins (up from 8 at min_area=200) - expected, since a much looser area threshold surfaces smaller signals. Key finding: the exit sign and wall fixture (already known/masked in cam0) are now ALSO visible from cam1's viewpoint - same physical objects, different camera angle, not yet masked on that side. All 13 crops individually inspected and confirmed false_positive (user: 'all the images don't have a ball in'). 5 new exclusion_mask.py zones added (mask v4): cam0 exit-sign spillover + cam0 fixture spillover (both widen existing cam0 coverage), cam1 wall-corner extension, cam1 fixture (new), cam1 exit sign (new, only 3 distinct flights but visually unambiguous). One near-miss caught during safety-check: the cam1 fixture zone's first draft (v>=680) clipped a verified real trajectory (flight_53/cam1 frames 103->104->108, smooth 22-30px/frame descent through (1153,682)) - narrowed the floor to v=684 (actual fixture cluster sits at v>=685), zero real hits after. Not acted on: a few 2-3-distinct-flight cam0 edge points (too weak to act on) and cam1 (380-420,820-860) points (same previously-confirmed person's-arm artifact, not maskable - too close to the real launch trajectory)."
2026-07-24,post-mask-v4 re-audit at min_area=30/min_circ=0.30 (163 flights),163,,,N/A (audit does not use labels),data/detector_tuning/inspection_crops/area30_circ0.3/artifact_audit_hotspots.csv;data/detector_tuning/inspection_crops/area30_circ0.3/ (crops, all user-confirmed false_positive),"Confirmed mask v4 worked: 13 hotspots -> 9, total rejected points 181 -> 86 (roughly halved). Remaining 9 are NOT new artifact types - all further edge-spillover of the SAME two already-masked static objects (fixture, wall corner - their low-contrast edges bleed further at this looser threshold, a genuine diminishing-returns pattern) or the already-confirmed person's-arm case (now also seen on cam0 at u=180,v=820, same category, still not maskable). User and Claude agreed to stop mask refinement here rather than keep chasing progressively smaller spillover of known objects."
2026-07-24,candidate + mask v4 (12 zones total) + trajectory filter + min_area=30/min_circ=0.30 - 10-FLIGHT SAMPLE,10,0.9784,0.925,flight_01 + flight_22 (240 points),data/detector_tuning/candidate_config_validated_results.csv (superseded by the full-163 row below);data/detector_tuning/contact_sheets/area30_circ0.3/;data/detector_tuning/inspection_crops/area30_circ0.3/;src/image_processing/exclusion_mask.py;data/detector_tuning/candidate_config.json,"Round 3 final, measured on the 10-flight validation sample. exclusion_mask.py now 7 cam0 + 5 cam1 = 12 zones total (5 added this round), trajectory filter unchanged (max_speed=80, min_run=2 - the flight_22 two-frame person-detection bug remains intentionally unfixed). No sample flight below 0.8958 combined_rate; 5 of 10 flights at 1.0000. avg_combined_rate improved 0.8552->0.9784 (+14.4pp) vs. mask v3, labeled_recall improved 0.8125(gate)/0.9259(old 1-flight measure)->0.9250(new 2-flight measure) this round."
